Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,24,OKC,75,8,1134,3.7,9.2,.395,2.7,7.0,.380,1.0,2.2,.443,1.2,1.5,.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2
2,Quincy Acy\acyqu01,PF,27,BRK,70,8,1359,3.4,9.7,.356,2.7,7.7,.349,0.7,1.9,.384,1.3,1.6,.817,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9
3,Steven Adams\adamsst01,C,24,OKC,76,76,2487,6.5,10.3,.629,0.0,0.0,.000,6.5,10.3,.631,2.3,4.1,.559,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3
4,Bam Adebayo\adebaba01,C,20,MIA,69,19,1368,4.6,8.9,.512,0.0,0.2,.000,4.6,8.8,.523,3.4,4.7,.721,3.1,6.9,10.0,2.7,0.8,1.1,1.7,3.6,12.6
5,Arron Afflalo\afflaar01,SG,32,ORL,53,3,682,3.4,8.6,.401,1.4,3.7,.386,2.0,4.9,.413,1.2,1.4,.846,0.2,3.3,3.5,1.6,0.2,0.5,1.1,3.0,9.4
6,Cole Aldrich\aldrico01,C,29,MIN,21,0,49,3.7,11.0,.333,0.0,0.0,,3.7,11.0,.333,1.5,4.4,.333,2.2,8.8,11.0,2.2,1.5,0.7,0.7,8.1,8.8
7,LaMarcus Aldridge\aldrila01,C,32,SAS,75,75,2509,9.9,19.3,.510,0.4,1.3,.293,9.5,18.0,.526,4.8,5.7,.837,3.5,5.6,9.1,2.2,0.6,1.3,1.6,2.3,24.9
8,Jarrett Allen\allenja01,C,19,BRK,72,31,1441,5.8,9.9,.589,0.1,0.4,.333,5.7,9.5,.599,2.8,3.7,.776,3.6,6.1,9.7,1.2,0.7,2.2,2.0,3.7,14.7
9,Kadeem Allen\allenka01,PG,25,BOS,18,1,107,2.0,7.4,.273,0.0,3.7,.000,2.0,3.7,.545,2.4,3.0,.778,1.3,2.4,3.7,4.0,1.0,0.7,3.0,5.0,6.4
10,Tony Allen\allento01,SF,36,NOP,22,0,273,5.8,12.0,.484,0.5,1.6,.333,5.3,10.4,.506,1.5,2.8,.524,2.6,3.6,6.2,1.2,1.5,0.4,2.5,6.5,13.6
11,Al-Farouq Aminu\aminual01,PF,27,POR,69,67,2072,4.0,10.1,.395,2.2,5.9,.369,1.8,4.2,.432,1.0,1.4,.738,1.7,7.4,9.1,1.5,1.4,0.7,1.4,2.4,11.2
12,Justin Anderson\anderju01,SF,24,PHI,38,0,519,6.0,14.0,.431,2.4,7.1,.330,3.7,6.9,.535,1.9,2.6,.737,1.7,4.7,6.5,1.7,1.0,0.5,1.1,3.7,16.4
13,Kyle Anderson\anderky01,SF,24,SAS,74,67,1978,4.2,8.0,.527,0.3,1.0,.333,3.9,6.9,.556,1.9,2.7,.712,1.5,5.7,7.2,3.7,2.1,1.1,1.7,2.1,10.6
14,Ryan Anderson\anderry01,PF,29,HOU,66,50,1725,4.3,10.0,.431,2.7,7.1,.386,1.6,2.9,.539,1.5,1.9,.774,2.0,4.9,6.9,1.3,0.5,0.4,0.9,2.6,12.9
